CMDLINE python example_L2T_STARS_with_download.py
MEM 0.046875 1733253971.9180
MEM 26.109375 1733253972.0232
MEM 34.203125 1733253972.1284
MEM 42.921875 1733253972.2336
MEM 48.484375 1733253972.3389
MEM 56.703125 1733253972.4441
MEM 66.671875 1733253972.5496
MEM 73.437500 1733253972.6549
MEM 78.921875 1733253972.7587
MEM 84.515625 1733253972.8640
MEM 85.937500 1733253972.9692
MEM 93.328125 1733253973.0744
MEM 99.421875 1733253973.1796
MEM 101.531250 1733253973.2848
MEM 111.031250 1733253973.3900
MEM 116.734375 1733253973.4953
MEM 119.921875 1733253973.6004
MEM 124.546875 1733253973.7056
MEM 129.093750 1733253973.8108
MEM 140.312500 1733253973.9160
MEM 147.750000 1733253974.0212
MEM 153.468750 1733253974.1264
MEM 159.343750 1733253974.2316
MEM 163.109375 1733253974.3323
MEM 166.796875 1733253974.4340
MEM 175.734375 1733253974.5392
MEM 180.421875 1733253974.6444
MEM 186.218750 1733253974.7496
MEM 191.250000 1733253974.8547
MEM 196.953125 1733253974.9599
MEM 203.609375 1733253975.0651
MEM 208.140625 1733253975.1704
MEM 214.250000 1733253975.2752
MEM 223.484375 1733253975.3805
MEM 223.484375 1733253975.4856
MEM 223.484375 1733253975.5909
MEM 225.750000 1733253975.6961
MEM 230.046875 1733253975.8013
MEM 234.406250 1733253975.9066
MEM 238.562500 1733253976.0087
MEM 264.921875 1733253976.1139
MEM 265.343750 1733253976.2190
MEM 265.343750 1733253976.3245
MEM 265.343750 1733253976.4252
MEM 265.343750 1733253976.5303
MEM 265.343750 1733253976.6350
MEM 274.718750 1733253976.7403
MEM 319.218750 1733253976.8417
MEM 319.218750 1733253976.9421
MEM 319.218750 1733253977.0475
MEM 319.218750 1733253977.1510
MEM 319.218750 1733253977.2548
MEM 319.218750 1733253977.3601
MEM 319.218750 1733253977.4653
MEM 319.218750 1733253977.5704
MEM 319.218750 1733253977.6757
MEM 319.218750 1733253977.7811
MEM 319.218750 1733253977.8865
MEM 319.218750 1733253977.9915
MEM 319.218750 1733253978.0939
MEM 319.218750 1733253978.1991
MEM 319.937500 1733253978.3044
MEM 331.453125 1733253978.4089
MEM 331.593750 1733253978.5142
MEM 331.593750 1733253978.6194
MEM 331.593750 1733253978.7246
MEM 331.609375 1733253978.8301
MEM 331.640625 1733253978.9317
MEM 331.656250 1733253979.0364
MEM 331.750000 1733253979.1367
MEM 331.750000 1733253979.2391
MEM 331.750000 1733253979.3441
MEM 331.750000 1733253979.4494
MEM 331.750000 1733253979.5545
MEM 331.750000 1733253979.6578
MEM 331.750000 1733253979.7619
MEM 331.750000 1733253979.8674
MEM 331.750000 1733253979.9689
MEM 331.750000 1733253980.0740
MEM 331.750000 1733253980.1756
MEM 331.765625 1733253980.2800
MEM 331.781250 1733253980.3852
MEM 331.781250 1733253980.4905
MEM 331.796875 1733253980.5957
MEM 331.796875 1733253980.7009
MEM 331.796875 1733253980.8061
MEM 331.796875 1733253980.9113
MEM 332.140625 1733253981.0165
MEM 332.937500 1733253981.1217
MEM 335.125000 1733253981.2269
MEM 340.359375 1733253981.3321
MEM 354.390625 1733253981.4374
MEM 354.421875 1733253981.5425
MEM 354.406250 1733253981.6478
MEM 354.406250 1733253981.7529
MEM 354.421875 1733253981.8584
MEM 354.515625 1733253981.9605
MEM 354.515625 1733253982.0651
MEM 354.515625 1733253982.1660
MEM 354.515625 1733253982.2673
MEM 354.515625 1733253982.3689
MEM 354.515625 1733253982.4712
MEM 354.515625 1733253982.5758
MEM 354.515625 1733253982.6810
MEM 354.515625 1733253982.7864
MEM 354.515625 1733253982.8918
MEM 354.515625 1733253982.9945
MEM 354.515625 1733253983.0996
MEM 354.515625 1733253983.2009
MEM 354.515625 1733253983.3030
MEM 354.515625 1733253983.4079
MEM 354.515625 1733253983.5097
MEM 354.515625 1733253983.6148
MEM 354.515625 1733253983.7200
MEM 354.515625 1733253983.8218
MEM 354.515625 1733253983.9240
MEM 354.515625 1733253984.0272
MEM 354.515625 1733253984.1292
MEM 356.796875 1733253984.2313
MEM 356.796875 1733253984.3365
MEM 356.812500 1733253984.4417
MEM 357.578125 1733253984.5428
MEM 357.593750 1733253984.6479
MEM 357.593750 1733253984.7532
MEM 357.593750 1733253984.8585
MEM 357.593750 1733253984.9606
MEM 357.593750 1733253985.0657
MEM 357.593750 1733253985.1710
MEM 357.593750 1733253985.2732
MEM 357.609375 1733253985.3740
MEM 357.703125 1733253985.4790
MEM 427.031250 1733253985.5842
MEM 477.468750 1733253985.6895
MEM 536.390625 1733253985.7923
MEM 541.562500 1733253985.8976
MEM 591.703125 1733253986.0028
MEM 591.718750 1733253986.1080
MEM 597.437500 1733253986.2132
MEM 597.437500 1733253986.3184
MEM 642.109375 1733253986.4237
MEM 646.234375 1733253986.5289
MEM 646.250000 1733253986.6340
MEM 646.250000 1733253986.7392
MEM 646.593750 1733253986.8445
MEM 646.593750 1733253986.9499
MEM 646.609375 1733253987.0533
MEM 646.609375 1733253987.1577
MEM 646.609375 1733253987.2623
MEM 646.609375 1733253987.3675
MEM 646.609375 1733253987.4704
MEM 646.609375 1733253987.5719
MEM 646.718750 1733253987.6770
MEM 665.328125 1733253987.7822
MEM 665.328125 1733253987.8875
MEM 665.328125 1733253987.9929
MEM 665.359375 1733253988.0955
MEM 665.390625 1733253988.1974
MEM 665.390625 1733253988.2999
MEM 665.390625 1733253988.4019
MEM 665.390625 1733253988.5031
MEM 665.390625 1733253988.6084
MEM 665.390625 1733253988.7135
MEM 665.390625 1733253988.8146
MEM 665.390625 1733253988.9199
